date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2025-06-16,2025-06-19,3,Monday,10:00,12:00,24785.0,24800,24800,0.061,0.078,0.512,0.614,11.07,114.5,164.95,279.45,210.25,100.2,310.45,-31.0,-2325.0,-2525.0,-107447.0,-99447.0,-99787.0
2025-07-21,2025-07-24,3,Monday,09:30,11:00,24949.8,24950,25000,0.201,-0.23,0.521,0.807,10.39,96.9,119.65,216.55,192.1,55.4,247.5,-30.95,-2321.0,-2521.0,-107287.0,-99287.0,-99628.0
2026-04-16,2026-04-21,3,Thursday,09:30,15:25,24377.0,24400,25000,2.556,-0.718,0.186,0.509,32.17,176.25,200.0,376.25,96.5,310.7,407.2,-30.95,-2321.0,-2521.0,-107287.0,-99287.0,-99628.0
2026-02-18,2026-02-24,4,Wednesday,10:00,15:25,25672.2,25650,25700,0.108,0.062,0.264,0.427,15.04,155.8,130.25,286.05,246.5,70.3,316.8,-30.75,-2306.0,-2506.0,-106649.0,-98649.0,-98989.0
2026-01-08,2026-01-13,3,Thursday,10:00,11:00,26176.2,26200,26200,0.091,-0.183,0.164,0.302,8.33,47.25,150.3,197.55,37.0,191.25,228.25,-30.7,-2302.0,-2502.0,-106489.0,-98489.0,-98830.0
2025-10-23,2025-10-28,3,Thursday,10:30,15:25,26136.0,26150,26000,0.52,1.144,0.079,0.665,12.89,114.7,128.0,242.7,43.3,230.05,273.35,-30.65,-2299.0,-2499.0,-106330.0,-98330.0,-98670.0
2025-07-02,2025-07-03,1,Wednesday,09:30,12:00,25660.2,25650,25600,0.235,-0.957,0.133,0.349,11.97,46.95,121.5,168.45,23.35,175.75,199.1,-30.65,-2299.0,-2499.0,-106330.0,-98330.0,-98670.0
2025-05-27,2025-05-29,2,Tuesday,10:00,12:00,24788.3,24800,25000,0.854,-0.49,0.892,1.076,18.95,205.5,220.8,426.3,324.55,132.25,456.8,-30.5,-2288.0,-2488.0,-105851.0,-97851.0,-98191.0
2026-01-21,2026-01-27,4,Wednesday,10:00,12:00,25202.5,25200,26000,3.164,-0.125,0.367,0.768,9.53,149.5,150.2,299.7,120.35,209.6,329.95,-30.25,-2269.0,-2469.0,-105053.0,-97053.0,-97394.0
2026-03-11,2026-03-17,4,Wednesday,10:00,11:00,24231.5,24250,24300,0.283,-0.273,0.531,0.756,16.85,222.5,299.35,521.85,214.6,337.35,551.95,-30.1,-2258.0,-2458.0,-104574.0,-96574.0,-96915.0
2026-03-16,2026-03-17,1,Monday,10:00,11:00,23250.7,23250,23200,0.218,0.029,0.612,1.171,18.55,150.75,204.4,355.15,89.0,296.2,385.2,-30.05,-2254.0,-2454.0,-104415.0,-96415.0,-96755.0
2025-07-11,2025-07-17,4,Friday,09:30,11:00,25356.5,25350,25500,0.566,-0.311,0.118,0.363,11.45,114.0,141.35,255.35,70.25,215.15,285.4,-30.05,-2254.0,-2454.0,-104415.0,-96415.0,-96755.0
2025-04-29,2025-04-30,1,Tuesday,09:30,11:00,24512.0,24500,24400,0.457,0.126,0.221,0.62,18.12,44.15,147.1,191.25,21.15,200.1,221.25,-30.0,-2250.0,-2450.0,-104255.0,-96255.0,-96596.0
2025-08-29,2025-09-02,2,Friday,10:30,15:25,24664.0,24650,24500,0.665,0.612,0.016,0.387,10.6,55.05,154.8,209.85,28.4,211.35,239.75,-29.9,-2242.0,-2442.0,-103936.0,-95936.0,-96277.0
2026-04-29,2026-05-05,4,Wednesday,09:30,13:00,24201.0,24200,24100,0.417,0.558,1.044,1.16,30.09,159.0,218.2,377.2,283.75,123.35,407.1,-29.9,-2243.0,-2443.0,-103936.0,-95936.0,-96277.0
2026-01-21,2026-01-27,4,Wednesday,09:30,13:00,25293.7,25300,26000,2.792,-0.125,0.367,0.768,9.53,148.5,153.9,302.4,178.35,153.9,332.25,-29.85,-2239.0,-2439.0,-103777.0,-95777.0,-96117.0
2025-05-20,2025-05-22,2,Tuesday,10:30,13:00,24958.4,24950,25000,0.167,0.301,0.353,0.539,20.13,113.7,158.5,272.2,83.1,218.85,301.95,-29.75,-2231.0,-2431.0,-103457.0,-95457.0,-95798.0
2025-05-26,2025-05-29,3,Monday,09:30,13:00,25086.5,25100,25000,0.345,0.241,0.22,0.756,19.27,197.9,207.35,405.25,165.5,269.3,434.8,-29.55,-2216.0,-2416.0,-102819.0,-94819.0,-95160.0
2025-06-30,2025-07-03,3,Monday,09:30,15:25,25727.0,25750,25600,0.494,0.031,0.284,0.432,11.55,81.25,202.45,283.7,49.4,263.75,313.15,-29.45,-2209.0,-2409.0,-102500.0,-94500.0,-94840.0
2026-02-19,2026-02-24,3,Thursday,10:30,12:00,25752.3,25750,25800,0.185,0.084,0.363,0.533,14.98,125.75,125.85,251.6,102.0,178.85,280.85,-29.25,-2194.0,-2394.0,-101862.0,-93862.0,-94202.0
2025-07-11,2025-07-17,4,Friday,09:30,15:25,25356.5,25350,25500,0.566,-0.311,0.118,0.363,11.45,114.0,141.35,255.35,58.95,225.65,284.6,-29.25,-2194.0,-2394.0,-101862.0,-93862.0,-94202.0
2025-06-06,2025-06-12,4,Friday,10:00,15:25,24792.5,24800,24700,0.373,-0.077,0.258,0.713,18.86,142.65,221.05,363.7,310.05,82.85,392.9,-29.2,-2190.0,-2390.0,-101702.0,-93702.0,-94043.0
2025-05-02,2025-05-08,4,Friday,10:00,11:00,24709.0,24700,24400,1.251,0.08,0.968,1.305,15.87,152.3,220.65,372.95,78.7,323.2,401.9,-28.95,-2171.0,-2371.0,-100904.0,-92904.0,-93245.0
2025-04-23,2025-04-24,1,Wednesday,09:30,11:00,24279.9,24300,24300,0.083,0.604,0.309,0.678,,78.65,101.25,179.9,34.65,174.15,208.8,-28.9,-2168.0,-2368.0,-100745.0,-92745.0,-93085.0
2025-06-02,2025-06-05,3,Monday,10:30,13:00,24705.0,24700,24800,0.385,-0.213,0.419,0.806,19.39,165.7,252.45,418.15,224.75,222.2,446.95,-28.8,-2160.0,-2360.0,-100426.0,-92426.0,-92766.0
2025-05-23,2025-05-29,4,Friday,10:00,12:00,24820.1,24800,25000,0.725,-0.035,0.598,0.949,19.21,213.8,191.65,405.45,251.35,182.9,434.25,-28.8,-2160.0,-2360.0,-100426.0,-92426.0,-92766.0
2026-04-01,2026-04-07,4,Wednesday,10:00,11:00,22996.0,23000,23000,0.017,2.328,0.164,0.832,26.76,267.1,335.85,602.95,215.55,416.0,631.55,-28.6,-2145.0,-2345.0,-99787.0,-91787.0,-92128.0
2025-06-02,2025-06-05,3,Monday,09:30,11:00,24657.9,24650,24800,0.576,-0.213,0.419,0.806,19.39,155.35,247.75,403.1,206.95,224.75,431.7,-28.6,-2145.0,-2345.0,-99787.0,-91787.0,-92128.0
2025-09-22,2025-09-23,1,Monday,09:30,15:25,25347.4,25350,25300,0.187,-0.302,0.138,0.4,7.76,37.55,83.2,120.75,17.85,131.45,149.3,-28.55,-2141.0,-2341.0,-99628.0,-91628.0,-91968.0
2025-12-10,2025-12-16,4,Wednesday,09:30,13:00,25999.5,26000,26000,0.002,-0.295,0.59,0.69,10.8,95.65,170.1,265.75,58.7,235.6,294.3,-28.55,-2141.0,-2341.0,-99628.0,-91628.0,-91968.0
2025-09-04,2025-09-09,3,Thursday,10:00,13:00,25009.1,25000,25000,0.036,0.428,0.062,0.491,10.22,71.2,134.4,205.6,48.35,185.7,234.05,-28.45,-2134.0,-2334.0,-99309.0,-91309.0,-91649.0
2026-02-27,2026-03-02,1,Friday,09:30,11:00,25508.5,25500,25500,0.033,-0.261,0.415,0.634,15.58,60.4,181.0,241.4,41.25,228.35,269.6,-28.2,-2115.0,-2315.0,-98511.0,-90511.0,-90851.0
