distance_pct,train_days_total,train_days_traded,train_days_skipped,train_win_pct,train_net_pnl,train_gross_pnl,train_avg_per_day,train_best_day,train_worst_day,train_max_drawdown,train_sharpe_ann,test_days_total,test_days_traded,test_days_skipped,test_win_pct,test_net_pnl,test_gross_pnl,test_avg_per_day,test_best_day,test_worst_day,test_max_drawdown,test_sharpe_ann
2.0,106,52,54,44.2,-13647.0,7153.0,-262.0,2400.0,-3962.0,-21349.0,-3.3,45,17,28,52.9,-14041.0,-7241.0,-826.0,7390.0,-9000.0,-22620.0,-3.83
2.5,106,52,54,34.6,-14266.0,6534.0,-274.0,1410.0,-2891.0,-17788.0,-5.3,45,17,28,41.2,-4618.0,2182.0,-272.0,6974.0,-7745.0,-12446.0,-1.51
3.0,106,52,54,19.2,-17051.0,3749.0,-328.0,1381.0,-2422.0,-17938.0,-9.48,45,17,28,47.1,-4598.0,2202.0,-270.0,5747.0,-6646.0,-10662.0,-1.82
3.5,106,52,54,9.6,-18566.0,2234.0,-357.0,1277.0,-2087.0,-19072.0,-13.3,45,17,28,29.4,-4460.0,2340.0,-262.0,5252.0,-5158.0,-9224.0,-2.12
4.0,106,52,54,3.8,-18725.0,2075.0,-360.0,1248.0,-1659.0,-18848.0,-17.5,45,17,28,23.5,-6410.0,390.0,-377.0,4568.0,-4450.0,-10285.0,-3.43
5.0,106,52,54,1.9,-19386.0,1414.0,-373.0,1238.0,-1268.0,-19132.0,-22.25,45,16,29,18.8,-8168.0,-1768.0,-510.0,159.0,-3026.0,-7823.0,-10.64
